"","V1","V2"
"IS_PM",-0.00134883355572261,-0.0593308899031726
"IS_NSL",-0.00254968291176816,-0.0496297108129535
"IS_PNS",-0.00247589876836141,-0.0722065085270834
"PM_ZS",-0.0115229708952888,-0.00533481342405062
"PM_ZI",0.00965508992552601,-0.0156661536777613
"PM_MT",0.0327473066012131,-0.018985903077381
"NSL_NA",0.000402812757653383,0.0462697307905257
"NSL_ZS",0.000603758477760057,0.0798571151573945
"NSL_ZI",0.0241275334314368,0.0299794901708411
"NA_BR",0.0119784360508004,0.0588252223709169
"NA_PNS",-0.00301171604171529,-0.112083641871535
"BR_PT",-0.023947891677434,-0.0819270030900443
"BR_APET",-0.0469772320370287,-0.0586199371246056
"PT_APET",-0.00786781414932676,-0.050182665670202
"PT_BA",-0.0235631074882469,0.139049438767698
"PT_EAM",-0.0463002619234249,0.269788326542828
"PT_ZYGO",0.0175509979554913,0.0718825853856185
"PT_TSP",0.016799087070373,-0.0777971331150414
"ZS_ZI",-0.0177852719522033,-0.126106080218048
"ZI_MT",0.00464921383666173,0.138408958151355
"ZI_ZYGO",0.037254121617958,0.25038046274992
"ZI_TSP",-0.0321701956845157,-0.194917469419196
"MT_PNS",-0.00409999566044858,0.332167983889365
"PNS_APET",0.162308263009205,-0.200461832198595
"APET_BA",-0.0192175245359451,-0.0423481852225224
"APET_TS",-0.050607529037916,-0.155148589818939
"BA_EAM",-0.115910732321397,0.112611174985073
"EAM_ZYGO",0.0294166010510518,0.0524120449004656
"ZYGO_TSP",-0.0186806243280033,0.165167811088148
"LD_AS",-0.0133985152677233,0.309182498759716
"BR_LD",4.43514542395173e-05,0.0806901292346182
"OPI_LD",0.296771140170882,0.0256303122124144
"PT_AS",0.0325155416387596,0.227858879031735
"JP_AS",0.048222200623504,-0.578406567983468
"BA_OPI",0.92384180894916,0.0514772970308909
